gene,class
1110002L01Rik,up
1110008P14Rik,up
1810041H14Rik,up
2200002D01Rik,up
2310015A10Rik,up
2500002B13Rik,up
2700099C18Rik,up
4930579G18Rik,up
4931406H21Rik,up
4931409K22Rik,up
5031439G07Rik,up
5830444B04Rik,up
Abcd1,up
Abhd11,up
Abtb1,up
Acbd4,up
Ackr4,up
Acot11,up
Acp5,up
Acpp,up
Acsl6,up
Actg1,up
Actn1,up
Actn4,up
Adamts14,up
Adgrb1,up
Adgrg1,up
Aebp1,up
Agpat2,up
Agpat4,up
Agtrap,up
Ahnak,up
AI463170,up
AI464131,up
Aim1l,up
Akr1c14,up
Alas2,up
Aloxe3,up
Alpl,up
Ampd2,up
Ankrd9,up
Ano6,up
Anpep,up
Anxa2,up
Anxa3,up
Anxa4,up
Anxa8,up
Aplf,up
App,up
Aqp3,up
Arf5,up
Arhgef16,up
Arhgef19,up
Arhgef7,up
Armc7,up
Armcx4,up
Arrb1,up
Arrdc3,up
Asap2,up
Asap3,up
Asb7,up
Atg16l2,up
Atp1b2,up
Atp1b3,up
Atp8b2,up
AU021092,up
Auts2,up
B3gnt7,up
B3gnt8,up
B4galnt2,up
B4galt1,up
Bach2,up
Bag3,up
Bcl2l1,up
Bco1,up
Bhmt2,up
Bid,up
Bmyc,up
Bre,up
Bri3,up
Bsn,up
Btbd17,up
C2,up
C4a,up
C77080,up
Cabin1,up
Cacnb3,up
Camk2b,up
Camk2d,up
Capn12,up
Capzb,up
Ccdc154,up
Ccr4,up
Cct6b,up
Cd33,up
Cd82,up
Cdc42ep1,up
Cdc42ep4,up
Cdc42ep5,up
Cdh23,up
Cdk16,up
Cdk18,up
Cdx2,up
Cdyl2,up
Ceacam10,up
Celsr3,up
Cenpa,up
Cep68,up
Cers2,up
Cgn,up
Cgref1,up
Chrnd,up
Chst3,up
Cilp,up
Ckmt1,up
Cldn4,up
Cldn9,up
Clip2,up
Cmip,up
Cmklr1,up
Cnn2,up
Cnpy2,up
Coa5,up
Col4a1,up
Col4a2,up
Col5a3,up
Col8a2,up
Crtc3,up
Csf3r,up
Csk,up
Cwh43,up
Cyp2s1,up
D630045M09Rik,up
Dab2,up
Dab2ip,up
Dag1,up
Dapk1,up
Dbn1,up
Dcbld1,up
Depdc1b,up
Deptor,up
Dffb,up
Dgka,up
Dld,up
Dmtn,up
Dnajc12,up
Dnmt3b,up
Dnph1,up
Drc7,up
Dusp10,up
Dusp6,up
Efr3b,up
Egfl8,up
Egln1,up
Egln2,up
Elf4,up
Elmo2,up
Eml2,up
Endod1,up
Eng,up
Eno2,up
Epas1,up
Epb4.1l1,up
Epg5,up
Ephb4,up
Ephx1,up
Eps8l1,up
Eps8l2,up
Erbb2,up
Etv5,up
Fam102a,up
Fam129a,up
Fam159b,up
Fam212a,up
Fam222b,up
Fam58b,up
Fam63a,up
Fam83g,up
Fam83h,up
Fbn1,up
Fbxo38,up
Fdx1,up
Fermt2,up
Fes,up
Ffar1,up
Ffar3,up
Fgd2,up
Fgf13,up
Fgr,up
Fhl3,up
Fktn,up
Flna,up
Fnbp1l,up
Fndc5,up
Foxi3,up
Foxn3,up
Fpr3,up
Fsd2,up
Fsip1,up
Fut4,up
Gabrd,up
Galnt2,up
Galnt6,up
Galntl5,up
Gbgt1,up
Gca,up
Gipc1,up
Glipr2,up
Gm10416,up
Gm21057,up
Gm6251,up
Gm867,up
Gng2,up
Gpr137,up
Gpr171,up
Gpr18,up
Gpr183,up
Gprc5a,up
Gramd1b,up
Grb7,up
Grin1,up
Grin1os,up
Grk6,up
Grtp1,up
Gsdmc4,up
Gyltl1b,up
H2afy,up
H2-T24,up
Hand1,up
Hap1,up
Hapln4,up
Hcn2,up
Hcn3,up
Hdac5,up
Helz,up
Hes1,up
Hexa,up
Hip1,up
Hipk1,up
Hmgcl,up
Homer2,up
Hscb,up
Htr2b,up
Icam1,up
Igsf3,up
Inf2,up
Inhbb,up
Inpp5b,up
Inpp5d,up
Irf6,up
Irgq,up
Isca1,up
Isl2,up
Itfg1,up
Itga3,up
Itgb1bp1,up
Itm2a,up
Itpripl1,up
Jdp2,up
Jkamp,up
Kank1,up
Kank4,up
Kazn,up
Kcnf1,up
Kcng1,up
Kcns3,up
Kcp,up
Kctd15,up
Kdelr3,up
Kdm4b,up
Kif13b,up
Kif19a,up
Klf11,up
Klf5,up
Klf8,up
Klhl14,up
Klhl24,up
Kremen2,up
Krt18,up
Krt7,up
Krt8,up
L1cam,up
Lama4,up
Lamb2,up
Lamc1,up
Lasp1,up
Lat2,up
Lcat,up
Ldlr,up
Lif,up
Limk2,up
Loxl2,up
Lpar5,up
Lpin1,up
Lrrtm2,up
Ltbp4,up
Ly6g6e,up
Lypd8,up
Lzts2,up
Magi2,up
Magix,up
Map3k7,up
Mapk7,up
Mbp,up
Mef2d,up
Mertk,up
Micall1,up
Mir22hg,up
Mpzl2,up
Mras,up
Mrps33,up
Msn,up
Mthfr,up
Myc,up
Mycl,up
Myh14,up
Mylk2,up
Myo1c,up
Myrfl,up
N4bp3,up
Naaa,up
Nacc2,up
Nanog,up
Natd1,up
Ncoa4,up
Ndst1,up
Ndufaf2,up
Nek9,up
Net1,up
Nfatc1,up
Nhlrc1,up
Nicn1,up
Nid1,up
Nkrf,up
Nln,up
Nlrx1,up
Nme4,up
Notch1,up
Npnt,up
Nr4a1,up
Nsun6,up
Oat,up
Obfc1,up
Ocln,up
Osbpl7,up
Otog,up
P2rx7,up
Padi4,up
Pak6,up
Palm3,up
Pard6b,up
Parpbp,up
Pax6,up
Pcnx,up
Pcsk7,up
Pdzd3,up
Pdzd9,up
Pef1,up
Peli2,up
Perp,up
Pgam2,up
Pgap2,up
Picalm,up
Pigz,up
Pik3c2b,up
Pitpnc1,up
Pitx1,up
Pklr,up
Pkmyt1,up
Pkn1,up
Plaur,up
Plcd1,up
Plcg1,up
Plec,up
Plekha2,up
Plekha6,up
Plekha7,up
Plekhg6,up
Plekhh1,up
Plekhh3,up
Plekho2,up
Plod1,up
Plp2,up
Plxnb2,up
Pml,up
Pmvk,up
Pnp,up
Polr2d,up
Ppfibp1,up
Ppm1j,up
Prkaa2,up
Prrg3,up
Psrc1,up
Ptger1,up
Ptges,up
Ptpn22,up
Ptpn6,up
Ptprj,up
Ptrf,up
Pvrl2,up
Pwwp2b,up
Pygl,up
Rab27a,up
Ralgds,up
Rapgefl1,up
Rasgef1a,up
Rassf1,up
Rassf4,up
Rassf7,up
Rcor1,up
Rcor3,up
Relb,up
Rfx7,up
Rfxank,up
Rhobtb2,up
Rimbp2,up
Ripk4,up
Rltpr,up
Rmi2,up
Rnasel,up
Rnd2,up
Rnf139,up
Rph3al,up
Rps15a-ps4,up
Rps6ka4,up
Rpusd1,up
Rragd,up
Rtn4r,up
Rtp3,up
Rundc3a,up
Rwdd4a,up
Ryr1,up
S100a10,up
S100a11,up
Sarm1,up
Sbk1,up
Scamp4,up
Scarb2,up
Scp2,up
Sdc3,up
Sec24b,up
Sema4a,up
Sema4b,up
Sema6b,up
Serpinb6a,up
Serpinb6c,up
Sfrp1,up
Sh3bgrl3,up
Sh3d21,up
Sh3tc1,up
Shbg,up
Shcbp1l,up
Shisa7,up
Shkbp1,up
Shtn1,up
Sipa1,up
Skp2,up
Slc13a2os,up
Slc16a5,up
Slc25a30,up
Slc26a11,up
Slc28a3,up
Slc2a8,up
Slc35f6,up
Slc39a11,up
Slc39a14,up
Slc46a1,up
Slc52a3,up
Slc7a2,up
Smad7,up
Snx10,up
Snx13,up
Snx22,up
Sox6,up
Spaca6,up
Specc1,up
Spi1,up
Spic,up
Spire2,up
Stard10,up
Steap3,up
Strc,up
Strip1,up
Stx1a,up
Stx3,up
Sulf2,up
Syde2,up
Syna,up
Sync,up
Synpo2l,up
Syp,up
Sypl,up
Syt2,up
Tab2,up
Tagln2,up
Tbccd1,up
Tcf15,up
Tdh,up
Tep1,up
Tfap2a,up
Tfcp2l1,up
Tgif1,up
Thsd1,up
Timm21,up
Tjap1,up
Tle3,up
Tmbim1,up
Tmc2,up
Tmco4,up
Tmed10,up
Tmeff1,up
Tmem125,up
Tmem181a,up
Tmem30b,up
Tmem80,up
Tmsb10,up
Tmx4,up
Tnfsf13b,up
Tnks1bp1,up
Tns1,up
Tns3,up
Tppp3,up
Tpst1,up
Trim8,up
Triml2,up
Trip10,up
Troap,up
Trpv5,up
Tspan1,up
Tspan14,up
Tstd1,up
Ttc39b,up
Ttll10,up
Uba7,up
Ubac2,up
Ube2z,up
Uck2,up
Usb1,up
Usp20,up
Usp43,up
Vgf,up
Vgll4,up
Vill,up
Vpreb3,up
Vsig10l,up
Wbscr27,up
Wdr78,up
Whamm,up
Wipi1,up
Wnt10b,up
Xcr1,up
Xpnpep2,up
Zan,up
Zdhhc17,up
Zdhhc21,up
Zdhhc9,up
Zfp174,up
Zfp28,up
Zfp36l2,up
Zfp385a,up
Zfp395,up
Zfp553,up
Zfp583,up
Zfp59,up
Zfp600,up
Zfp612,up
Zfp704,up
Zfp709,up
Zfp78,up
Zfp791,up
Zfp94,up
Zmiz1,up
Zscan10,up
Zscan18,up
1110019D14Rik,down
1810043G02Rik,down
2210409E12Rik,down
2310047M10Rik,down
2610001J05Rik,down
4632415L05Rik,down
4930413G21Rik,down
4930509E16Rik,down
4931423N10Rik,down
9530068E07Rik,down
A4galt,down
A630089N07Rik,down
Abcb1a,down
Abcb5,down
Acbd5,down
Acer3,down
Ackr3,down
Adamts3,down
AI662270,down
Amotl1,down
Ampd1,down
Amy1,down
Anp32e,down
Antxr1,down
Apol7b,down
Art3,down
Atl2,down
Atp6ap1,down
AU015228,down
AU022751,down
B020004C17Rik,down
B020004J07Rik,down
B3galt5,down
B3gntl1,down
Bbs5,down
Bicc1,down
Bloc1s3,down
Brsk1,down
C530008M17Rik,down
C77370,down
Cbx1,down
Ccdc60,down
Ccdc81,down
Ccl25,down
Ccnj,down
Cd1d1,down
Cdc42ep3,down
Cdkn1c,down
Cebpd,down
Chit1,down
Clec2i,down
Cml2,down
Cnot6l,down
Csrnp3,down
Cyp4f15,down
Cyp4f40,down
Dcaf12l1,down
Dcc,down
Ddhd1,down
Ddit4l,down
Ddr2,down
Ddx60,down
Dnajb9,down
Dolk,down
Dusp16,down
Dynap,down
Ehd2,down
Endog,down
Epb4.1l5,down
Epha7,down
Epm2a,down
Etohi1,down
EU599041,down
Exoc3l4,down
Fabp3,down
Fam162a,down
Fam216a,down
Fam46a,down
Fam83b,down
Far1,down
Fbxl3,down
Fbxo21,down
Fgd3,down
Fgd4,down
Fut9,down
Fzd3,down
Garnl3,down
Gdf11,down
Gm10324,down
Gm12789,down
Gm13128,down
Gm14124,down
Gm14420,down
Gm15698,down
Gm16386,down
Gm2016,down
Gm2022,down
Gm4858,down
Gm4971,down
Gm5662,down
Gm6902,down
Gm8300,down
Gm8994,down
Gpr1,down
Gpr161,down
Gsc,down
Gucy1a2,down
Gyk,down
H1foo,down
Hecw2,down
Hlf,down
Hmgb1,down
Hmox1,down
Hnrnph3,down
Hsd17b7,down
Hsf4,down
Ifng,down
Igsf1,down
Il6ra,down
Ina,down
Irf2bp2,down
Itgb3,down
Jade3,down
Klhl21,down
L3mbtl1,down
Lgr4,down
Lhx6,down
Lin28b,down
Lin52,down
LOC664787,down
Lox,down
Lppr5,down
Ly6a,down
Man2a1,down
Mbnl3,down
Me3,down
Meis1,down
Mir743,down
Mn1,down
Mypn,down
Narf,down
Ncoa2,down
Nefm,down
Neto2,down
Nkx2-4,down
Nkx6-2,down
Nlrp4e,down
Noxo1,down
Nr2f2,down
Nt5dc2,down
Ntn3,down
Obox7,down
Obscn,down
Olfr1425,down
Olfr376,down
P2ry1,down
P4ha2,down
P4htm,down
Pacsin3,down
Palmd,down
Pbx3,down
Pcsk5,down
Pirb,down
Plag1,down
Plcb1,down
Plekhb2,down
Pls3,down
Pnma5,down
Pou2af1,down
Ppp1r14a,down
Ppp2r5a,down
Ppp3cb,down
Pramef17,down
Pramef25,down
Pros1,down
Prr23a1,down
Ptch1,down
Rab31,down
Rab33b,down
Rab34,down
Rab3c,down
Rasd2,down
Rbbp6,down
Rbsn,down
Rcan1,down
Rin3,down
Rnf103,down
Rnf128,down
Rpia,down
Rpl41,down
Ryr2,down
Sash1,down
Sbp,down
Scarf1,down
Scd3,down
Scn1a,down
Sdk1,down
Sept10,down
Sept14,down
Sgms2,down
Slamf1,down
Slc16a6,down
Slc26a4,down
Slc30a2,down
Smad3,down
Snx14,down
Snx18,down
Spata6,down
Spred1,down
St6galnac4,down
St6galnac6,down
Stox1,down
Tacr3,down
Tc2n,down
Tdpoz3,down
Tes,down
Tgm4,down
Tia1,down
Tmem132c,down
Tmem178b,down
Trp53cor1,down
Trpc5os,down
Trpv6,down
Ttc30b,down
Uchl1,down
Unc93b1,down
Usp17lb,down
Usp17ld,down
Usp25,down
Usp9y,down
Vmn2r12,down
Xlr5c,down
Zfp146,down
Zfp239,down
Zfp26,down
Zfp352,down
Zfp354c,down
Zfp367,down
Zfp51,down
Zfp541,down
Zfp62,down
Zfp651,down
Zfp711,down
Zfp800,down
Zfp950,down
Zfp97,down
Zkscan1,down
